#type #avg_gauss_curv #avg_rel_err_gauss #avg_mean_curv #avg_rel_err_mean_curv #surf #vol #spher
T0_WT-2-1 1.06830595021 3.41087173632 1.04323167255 0.986937644635 17.382215 5.671878 0.884837589874
T0_WT-2-2 0.173194820528 7.61348713767 0.182144863128 3.05077193207 20.651173 7.9277 0.931045361866
T0_WT-2-3 0.942221546895 3.82334945083 0.956382247684 1.14109850498 18.904741 6.644441 0.904105259141
T0_WT-1_bis-1 1.13878961257 1.95339090772 0.971542199068 0.888277835691 12.373056 3.868372 0.963147059914
T0_WT-1_bis-2 1.32026580871 2.00623784758 0.971604752833 1.04953315235 9.278261 2.521552 0.965597490345
T0_WT-1_bis-3 1.22961610405 2.29238268594 1.09006323681 0.82708541401 14.829264 4.902839 0.941158825116
T0_WT-1_bis-4 1.51450216876 1.83563877235 1.21068586576 0.801294846528 12.68583 4.075368 0.972619773307
T0_WT-1_bis-5 1.30544482906 2.36522408739 0.953513092425 1.11674038046 9.70252 2.618405 0.946870883595
T0_WT-1_bis-6 1.9097003191 2.28233927563 0.869497232047 1.57539036581 2.981878 0.437316 0.934382010086
T0_WT-1_bis-7 1.42723656995 2.10858905126 1.22234801154 0.762961818908 12.23103 3.44049 0.901089500994
T0_WT-2_bis-1 0.95560035871 2.2873963411 0.723705554044 1.26257636987 8.930224 2.366133 0.961570601187
T0_WT-2_bis-2 0.896120592899 3.01851129892 0.652112749914 1.59003931395 8.65063 2.090468 0.913970208829
T0_WT-2_bis-3 1.78622314746 2.40579522906 1.2311369874 1.02954800359 9.645251 2.553741 0.936745883436
T0_WT-2_bis-4 1.32901632233 2.04453646016 1.04057667567 0.950448589554 9.864319 2.702379 0.951147398172
T0_WT-2_bis-5 1.27074623406 4.26140644705 0.794685520366 1.75664244693 9.153196 2.368586 0.938795006464
T0_WT-2_bis-6 2.05910140428 3.44276446873 1.43065880857 1.12043817743 8.658779 1.946676 0.870742793745
T1_WT-1-1 0.355295811231 3.70498657165 0.326865213882 2.05244381109 15.324651 5.304512 0.959821467215
T1_WT-1-2 0.651606740788 3.42831642586 0.491496838069 1.80147389031 11.186144 3.289569 0.956231447478
T1_WT-1-3 0.61017637958 3.44150299974 0.464796071581 1.84852152126 11.163544 3.281215 0.956544395397
T1_WT-1-4 0.877888065771 3.23992363228 0.52053103811 1.92245246596 5.836325 1.262059 0.967678440582
T1_WT-1-5 0.390725117508 3.39708166617 0.363678994074 1.86741069754 16.368145 6.054787 0.981485475869
T1_WT-1-6 0.69547707287 3.14668423199 0.502101712196 1.80133026192 9.222239 2.485043 0.96206332684
T1_WT-2-1 2.27774739505 3.97314705159 1.40573354874 1.2097131625 9.029096 2.321772 0.939116642011
T1_WT-2-2 1.06394623073 5.95144813158 0.494575049622 2.78819089202 4.708068 0.855286 0.925512473564
T1_WT-2-4 0.376949058365 2.98558704454 0.401903363181 1.61157584926 15.661595 5.10668 0.915673266345
T1_WT-3-1 0.192838618659 2.97959694161 0.2449889879 1.84898204291 21.653051 8.831104 0.954204942535
T1_WT-3-2 0.463944207448 5.86198001739 0.223172218388 3.63835307136 4.09598 0.736059 0.962501360058
T3_WT-1-1 0.282007026636 3.79819821084 0.282997845129 2.15273119402 18.16885 6.722064 0.948036555304
T3_WT-1-2 0.377371128111 3.97560563455 0.32784342152 2.22397118993 12.024186 3.365164 0.903162502425
T3_WT-1-3 0.184051432368 8.17955434046 0.199744659683 2.95967605788 20.448168 7.490118 0.90536172331
T3_WT-1-4 0.305698788504 6.14503502887 0.237782893813 2.95261939047 10.280652 2.728941 0.91859949012
T3_WT-1-5 0.637061421903 4.28682282301 0.539652674278 1.83315544266 8.639081 1.781694 0.822694562161
T3_WT-2-1 3.31277643665 3.1432997947 1.6093157985 1.25310315678 3.475897 0.538995 0.921454057355
T3_WT-2-2 1.21162902146 7.19861039894 0.478527203239 3.22830650307 2.617166 0.291971 0.813228586021
T3_WT-3-1 0.13297248515 9.91544312519 0.170606213255 3.27599503757 35.884056 14.499495 0.801341841368
T3_WT-3-2 0.175362753635 5.97569016567 0.235326282499 2.40191064748 26.717382 11.266322 0.909658329877
T3_WT-3-3 0.148856475706 5.72126657462 0.163308460548 2.93915564255 15.676771 5.236875 0.930269863071
T3_WT-3-4 0.238210557773 6.16810033352 0.223080905895 2.77334011498 11.452797 2.924532 0.863528713947
T3_WT-3-5 0.140797848275 4.81866732491 0.206320520942 2.29810908332 26.261307 11.181345 0.920796774978
T3_WT-3-6 0.190479225408 6.36268693341 0.10699941333 4.67911551367 4.125311 0.69063 0.91592031683
T3_WT_bis-4-1 0.609749969555 2.48091500512 0.609983712211 1.24394057468 17.097397 6.059946 0.940156026821
T3_WT_bis-4-2 1.37883927335 1.68655837446 1.11580575516 0.830249742256 8.13036 1.841383 0.893587471912
T3_WT_bis-4-3 0.827774108889 2.12742272188 0.876596103756 0.866584021534 19.265247 6.745776 0.89618455893
T3_WT_bis-4-4 0.974895391268 1.45926852488 0.990745587058 0.687998028477 15.465837 5.325329 0.953545955003
T1_PRA_10-1-1 1.05282701385 3.52893335083 0.746153496117 1.61713995273 9.052741 2.062704 0.865622639035
T1_PRA_10-1-2 1.48827013925 3.76227323434 0.522870533752 2.56167577602 1.863036 0.222801 0.95398366395
T1_PRA_10-1-3 1.08090391611 4.57653859178 0.574969870879 2.27542301721 5.854413 1.168807 0.916563602676
T1_PRA_10-1-4 1.25843123363 3.60240134776 0.631683438596 2.04351611754 5.063727 1.020841 0.968246376322
T1_PRA_10-1-5 1.1898599347 4.43363722791 0.618226787046 2.1561708126 6.221204 1.363629 0.955888281733
T1_PRA_10-1-6 0.578670497518 6.86400731936 0.353656439709 2.88347155035 6.618834 1.466549 0.94312007805
T1_PRA_10-2-1 2.43432185715 2.3478900062 1.08799916099 1.42236671828 3.409723 0.565377 0.969743967477
T1_PRA_10-2-2 1.02714277058 3.29129818896 0.612153571986 1.85088498939 7.597928 1.891918 0.973622182489
T1_PRA_10-2-3 1.25002637965 2.67805634851 0.866328731629 1.28462988394 8.937866 2.352705 0.957110113713
T1_PRA_10-2-4 1.99015261003 3.25155385934 0.752302454875 2.08858605826 2.500454 0.351829 0.963872628497
T1_PRA_10-2-5 1.61216566395 2.69013486024 0.88532309234 1.49587979662 5.937692 1.297182 0.968724694253
T1_PRA_10-2-6 1.03239515967 3.98664418117 0.564938560167 2.05391719736 5.763483 1.21247 0.954068914043
T1_PRA_10-2-7 0.940725856847 4.3447330832 0.42791777655 2.60685910921 3.913311 0.687338 0.962468742161
T1_PRA_10-2-8 1.21835115528 3.13869461233 0.938714665435 1.21829152594 12.064569 3.610959 0.943453835371
T1_PRA_10-2-9 0.928445034338 3.73346879032 0.5009682313 2.19151355937 5.681517 1.231364 0.977861660467
T1_PRA_10-3-1 2.6833450932 2.80787271471 1.56981041155 1.06904165251 7.980989 1.995119 0.960299240015
T1_PRA_100-1-1 0.982307284798 3.1806810142 0.973410418394 1.00304542307 22.340366 8.484868 0.900514141783
T1_PRA_100-1-2 0.547847978061 4.92484247676 0.40321343216 2.24087716544 11.772392 3.357244 0.921031853498
T1_PRA_100-1-3 3.69517302714 2.02193327769 1.93317534982 0.769602717631 5.288956 1.091835 0.969509677106
T1_PRA_100-2-1 0.822677731367 5.14922831671 0.843436271746 1.35569716051 25.783329 10.369615 0.891908272944
T1_PRA_100-3-1 0.890160678201 2.42501111377 0.778690902126 1.21225015188 14.308769 4.54504 0.927342779934
T1_PRA_100-3-3 4.18817964629 2.05067412113 1.72481365042 1.05730056065 2.671762 0.380944 0.951174978998
T1_PRA_100-3-5 2.89750402394 1.43666646172 1.6167056246 0.765695214317 4.05618 0.694721 0.935205731234
T1_PRA_100-3-6 3.42427597507 2.04346504517 1.48857008265 1.12775194977 2.805604 0.408176 0.948468035554
T1_PRA_100-4-1 1.78833972244 2.38275992876 1.13992697213 1.16393878168 8.126486 2.059379 0.963249567621
T3_PRA_10-1-2 1.56196777856 2.10257749484 0.883867387336 1.36115071305 4.090915 0.685702 0.919222365456
T3_PRA_10-3-1 1.30465003565 3.26553443604 0.637064597469 1.92349635 3.552749 0.593844 0.961688635097
T3_PRA_10_bis-3-1 0.739289575787 5.09422002654 0.595575119765 1.93737804816 10.42574 2.061389 0.751306547558
T3_PRA_10_bis-4-1 1.13769718855 4.41322816912 0.865308769107 1.61295277459 8.728144 2.175636 0.930292848812
