#type #avg_gauss_curv #avg_rel_err_gauss #avg_mean_curv #avg_rel_err_mean_curv #surf #vol #spher
T1_PRA_100-3-4 0.647214273479 4.22092380833 1.0912302777 0.843057061992 23.304522 5.526876 0.648679801987
T3_PRA_10-2-1 0.631447184745 5.05420000489 0.517565833881 1.95932574004 12.369222 3.453666 0.893295748272
T3_PRA_10_bis-4-8 0.234513395303 10.959538024 0.279546611675 2.91236607026 34.122917 11.889345 0.738260950553
T3_PRA_10_bis-4-9 0.35122916739 11.6353336878 0.218187292143 4.15154688482 8.759564 2.104812 0.906728246308
T3_PRA_10_bis-4-10 0.842042326493 3.60060950035 0.935955439442 1.06027886833 18.777037 6.59578 0.905804498732
T3_PRA_100-1-3 1.12738871333 3.45298620416 0.736829633407 1.58601854753 7.840656 1.846494 0.928318406151
T3_PRA_100-1-4 0.981652793358 2.39320220805 1.06093899294 0.903585018827 15.313527 4.008905 0.796940764884
T3_PRA_100-1-6 0.518982314157 9.38007667225 0.339299905241 3.313433817 8.23883 1.688921 0.877748149999
T3_PRA_100-1-7 0.356019408536 7.31514526562 0.332558162646 2.59857430369 16.13377 4.624822 0.832041358585
T3_PRA_100-1-9 2.31836378047 5.99315005614 1.39621756059 1.62264930817 10.271728 2.255067 0.809618115164
T3_PRA_100-1-10 0.917085046197 7.77981969355 0.591037714452 2.38347999171 9.890609 2.405267 0.877748149999
T3_PRA_100-1-12 0.923057152507 6.32693552259 0.889134547045 1.55468145924 21.318878 7.931207 0.902151079898
T3_PRA_100-3-3 0.73213821852 7.50595673162 0.438549682915 2.83530144857 16.095339 4.940329 0.871541116527
T3_PRA_100-3-4 0.73213821852 7.50595673162 0.438549682915 2.83530144857 6.893967 1.578845 0.951132945066
T3_PRA_100-3-5 0.73213821852 7.50595673162 0.438549682915 2.83530144857 22.995607 8.422652 0.870572854785
T3_PRA_100_bis-4-4 0.814533294527 8.42315506673 0.582286031219 2.45645503585 9.491109 2.076892 0.829423639278
T3_PRA_100_bis-4-5 1.28701754098 10.1901271447 0.782738460892 2.47236621283 10.627617 2.217096 0.773697508783
T1_SIM_5-2-5 0.803724860765 3.36304238713 0.699848040634 1.40923884701 17.757607 6.666574 0.964646346091
T1_SIM_5-2-6 0.890359389999 2.89526898593 0.741159742175 1.33643141578 15.526617 5.598821 0.982060649182
T1_SIM_5-3-1 0.257183557639 5.38572792319 0.230836750084 2.71192965044 14.473778 4.544764 0.916733449479
T1_SIM_5-3-2 0.630230027494 4.1404210009 0.825137182588 1.06917303706 34.434586 13.982257 0.815093472836
T3_SIM_5-1-6 0.228930392715 9.8133160247 0.325806551 2.45160292236 42.441021 11.817968 0.591189634745
T3_SIM_5-1-7 0.253668297987 8.60058577903 0.462044445306 1.81104718438 41.067219 12.427157 0.631785988749
T3_SIM_5-1-8 0.250624736672 6.47797725008 0.378175856116 1.86837995081 52.599304 20.277304 0.683666403205
T3_SIM_5-2-5 0.231296619401 5.37310319386 0.414342248302 1.54773113479 42.094246 17.108763 0.762793704006
T3_SIM_20-3-13 0.291196690142 5.92789835658 0.373166701985 1.99017288759 23.374943 6.825948 0.744461399141
